"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","apple.com","6,077,000","100"
"2","www.google.com","13,313,033","100"
"3","youtube.com","20,790,041","100"
"4","linkedin.com","10,724,465","99"
"5","support.google.com","4,881,087","99"
"6","microsoft.com","4,935,374","99"
"7","play.google.com","3,621,212","99"
"8","www.blogger.com","27,136,809","99"
"9","docs.google.com","2,905,487","98"
"10","youtu.be","4,689,192","98"
"11","en.wikipedia.org","6,567,265","98"
"12","wordpress.org","11,202,483","98"
"13","maps.google.com","4,717,438","98"
"14","mozilla.org","2,156,802","98"
"15","cloudflare.com","5,866,621","98"
"16","adobe.com","2,800,541","97"
"17","sites.google.com","1,997,480","97"
"18","whatsapp.com","2,557,949","97"
"19","googleusercontent.com","2,480,695","97"
"20","europa.eu","1,952,253","97"
"21","drive.google.com","2,155,648","97"
"22","accounts.google.com","2,535,827","97"
"23","plus.google.com","11,653,728","97"
"24","istockphoto.com","3,311,452","96"
"25","vk.com","1,687,420","96"
"26","t.me","811,244","96"
"27","es.wikipedia.org","906,792","96"
"28","bp.blogspot.com","16,776,933","96"
"29","vimeo.com","3,416,803","96"
"30","uol.com.br","640,774","96"
"31","github.com","2,478,110","96"
"32","facebook.com","54,523,975","96"
"33","amazon.com","4,681,556","96"
"34","medium.com","1,456,299","95"
"35","bbc.co.uk","1,647,946","95"
"36","nih.gov","1,267,981","95"
"37","google.co.jp","644,771","95"
"38","jimdofree.com","1,694,008","95"
"39","www.yahoo.com","1,232,092","95"
"40","google.de","1,114,709","95"
"41","creativecommons.org","1,669,082","95"
"42","w3.org","1,115,718","95"
"43","line.me","730,972","95"
"44","globo.com","426,716","95"
"45","pt.wikipedia.org","398,415","95"
"46","msn.com","1,067,101","95"
"47","terra.com.br","200,420","95"
"48","fr.wikipedia.org","604,013","95"
"49","live.com","823,599","95"
"50","news.google.com","738,563","95"
"51","paypal.com","1,038,849","95"
"52","netvibes.com","1,186,813","95"
"53","files.wordpress.com","6,612,906","95"
"54","opera.com","846,348","95"
"55","myspace.com","1,362,445","95"
"56","feedburner.com","1,763,492","95"
"57","forbes.com","1,367,527","95"
"58","bbc.com","807,034","95"
"59","policies.google.com","1,836,749","95"
"60","google.com.br","290,167","95"
"61","who.int","1,939,481","95"
"62","reuters.com","854,748","95"
"63","developers.google.com","1,019,998","95"
"64","mail.ru","482,012","95"
"65","nytimes.com","2,051,795","95"
"66","imdb.com","1,430,856","95"
"67","theguardian.com","1,475,952","95"
"68","dropbox.com","1,033,584","95"
"69","youronlinechoices.com","545,360","95"
"70","www.weebly.com","4,574,619","95"
"71","issuu.com","932,099","95"
"72","google.es","462,492","95"
"73","slideshare.net","971,789","95"
"74","dailymotion.com","1,113,688","95"
"75","wikimedia.org","1,699,915","95"
